0.49,0.29,0.48,0.5,0.56,0.24,0.35,one
0.07,0.4,0.48,0.5,0.54,0.35,0.44,one
0.56,0.4,0.48,0.5,0.49,0.37,0.46,one
0.59,0.49,0.48,0.5,0.52,0.45,0.36,one
0.23,0.32,0.48,0.5,0.55,0.25,0.35,one
0.67,0.39,0.48,0.5,0.36,0.38,0.46,one
0.29,0.28,0.48,0.5,0.44,0.23,0.34,one
0.21,0.34,0.48,0.5,0.51,0.28,0.39,one
0.2,0.44,0.48,0.5,0.46,0.51,0.57,one
0.42,0.4,0.48,0.5,0.56,0.18,0.3,one
0.42,0.24,0.48,0.5,0.57,0.27,0.37,one
0.25,0.48,0.48,0.5,0.44,0.17,0.29,one
0.39,0.32,0.48,0.5,0.46,0.24,0.35,one
0.51,0.5,0.48,0.5,0.46,0.32,0.35,one
0.22,0.43,0.48,0.5,0.48,0.16,0.28,one
0.25,0.4,0.48,0.5,0.46,0.44,0.52,one
0.34,0.45,0.48,0.5,0.38,0.24,0.35,one
0.44,0.27,0.48,0.5,0.55,0.52,0.58,one
0.23,0.4,0.48,0.5,0.39,0.28,0.38,one
0.41,0.57,0.48,0.5,0.39,0.21,0.32,one
0.4,0.45,0.48,0.5,0.38,0.22,0,one
0.31,0.23,0.48,0.5,0.73,0.05,0.14,one
0.51,0.54,0.48,0.5,0.41,0.34,0.43,one
0.3,0.16,0.48,0.5,0.56,0.11,0.23,one
0.36,0.39,0.48,0.5,0.48,0.22,0.23,one
0.29,0.37,0.48,0.5,0.48,0.44,0.52,one
0.25,0.4,0.48,0.5,0.47,0.33,0.42,one
0.21,0.51,0.48,0.5,0.5,0.32,0.41,one
0.43,0.37,0.48,0.5,0.53,0.35,0.44,one
0.43,0.39,0.48,0.5,0.47,0.31,0.41,one
0.53,0.38,0.48,0.5,0.44,0.26,0.36,one
0.34,0.33,0.48,0.5,0.38,0.35,0.44,one
0.56,0.51,0.48,0.5,0.34,0.37,0.46,one
0.4,0.29,0.48,0.5,0.42,0.35,0.44,one
0.24,0.35,0.48,0.5,0.31,0.19,0.31,one
0.36,0.54,0.48,0.5,0.41,0.38,0.46,one
0.29,0.52,0.48,0.5,0.42,0.29,0.39,one
0.65,0.47,0.48,0.5,0.59,0.3,0.4,one
0.32,0.42,0.48,0.5,0.35,0.28,0.38,one
0.38,0.46,0.48,0.5,0.48,0.22,0.29,one
0.33,0.45,0.48,0.5,0.52,0.32,0.41,one
0.3,0.37,0.48,0.5,0.59,0.41,0.49,one
0.4,0.5,0.48,0.5,0.45,0.39,0.47,one
0.28,0.38,0.48,0.5,0.5,0.33,0.42,one
0.61,0.45,0.48,0.5,0.48,0.35,0.41,one
0.17,0.38,0.48,0.5,0.45,0.42,0.5,one
0.44,0.35,0.48,0.5,0.55,0.55,0.61,one
0.43,0.4,0.48,0.5,0.39,0.28,0.39,one
0.42,0.35,0.48,0.5,0.58,0.15,0.27,one
0.23,0.33,0.48,0.5,0.43,0.33,0.43,one
0.37,0.52,0.48,0.5,0.42,0.42,0.36,one
0.29,0.3,0.48,0.5,0.45,0.03,0.17,one
0.22,0.36,0.48,0.5,0.35,0.39,0.47,one
0.23,0.58,0.48,0.5,0.37,0.53,0.59,one
0.47,0.47,0.48,0.5,0.22,0.16,0.26,one
0.54,0.47,0.48,0.5,0.28,0.33,0.42,one
0.51,0.37,0.48,0.5,0.35,0.36,0.45,one
0.4,0.35,0.48,0.5,0.45,0.33,0.42,one
0.44,0.34,0.48,0.5,0.3,0.33,0.43,one
0.42,0.38,0.48,0.5,0.54,0.34,0.43,one
0.44,0.56,0.48,0.5,0.5,0.46,0.54,one
0.52,0.36,0.48,0.5,0.41,0.28,0.38,one
0.36,0.41,0.48,0.5,0.48,0.47,0.54,one
0.18,0.3,0.48,0.5,0.46,0.24,0.35,one
0.47,0.29,0.48,0.5,0.51,0.33,0.43,one
0.24,0.43,0.48,0.5,0.54,0.52,0.59,one
0.25,0.37,0.48,0.5,0.41,0.33,0.42,one
0.52,0.57,0.48,0.5,0.42,0.47,0.54,one
0.25,0.37,0.48,0.5,0.43,0.26,0.36,one
0.35,0.48,0.48,0.5,0.56,0.4,0.48,one
0.26,0.26,0.48,0.5,0.34,0.25,0.35,one
0.44,0.51,0.48,0.5,0.47,0.26,0.36,one
0.37,0.5,0.48,0.5,0.42,0.36,0.45,one
0.44,0.42,0.48,0.5,0.42,0.25,0.2,one
0.24,0.43,0.48,0.5,0.37,0.28,0.38,one
0.42,0.3,0.48,0.5,0.48,0.26,0.36,one
0.48,0.42,0.48,0.5,0.45,0.25,0.35,one
0.41,0.48,0.48,0.5,0.51,0.44,0.51,one
0.44,0.28,0.48,0.5,0.43,0.27,0.37,one
0.29,0.41,0.48,0.5,0.48,0.38,0.46,one
0.34,0.28,0.48,0.5,0.41,0.35,0.44,one
0.41,0.43,0.48,0.5,0.45,0.31,0.41,one
